Level: State
Unit:Per Capita (dollars), Nominal
State,Year,(R01) Total Revenue,(R05) Total Taxes,(R39) Chg-Total Education,(R41) Chg-Total High Ed,(R46) Chg-Highways,(R64) Total Utility Revenue,(E049) Gen Pub Bldg-Total Exp,(E052) Health & Hosp-Dir Exp,(E061) Own Hospital-Total Exp,(E065) Total Highways-Dir Exp,(E083) Parking-Direct Expend,(E087) Police Prot-Direct Exp
Virginia,2011.0,$           6263,$           2147,$            484,$            481,$              4,$              0,$             19,$            484,N/A,$            344,$              0,$             38
Virginia,2012.0,$           5263,$           2214,$            437,$            433,$              4,$              0,$             20,$            498,N/A,$            404,$              0,$             39
Virginia,2013.0,$           6252,$           2320,$            454,$            450,$              4,$              0,$             20,$            550,N/A,$            389,$              0,$             41
Virginia,2014.0,$           6396,$           2272,$            473,$            469,$              4,$              0,$             19,$            574,N/A,$            401,$              0,$             41
Virginia,2015.0,$           6120,$           2448,$            490,$            485,$              5,$              0,$             27,$            633,N/A,$            451,$              0,$             44
Virginia,2016.0,$           6130,$           2512,$            506,$            501,$              5,$              0,$             27,$            669,N/A,$            520,$              0,$             45
Virginia,2017.0,$           6900,$           2611,$            522,$            516,$              6,$              0,$             29,$            714,N/A,$            422,$              0,$             48
Virginia,2018.0,$           6724,$           2845,$            532,$            527,$             80,$              0,$             29,$            773,N/A,$            486,$              0,$             51
Virginia,2019.0,$           7685,$           3149,$            546,$            540,$             16,$              0,$             30,$            774,N/A,$            474,$              0,$             52
Virginia,2020.0,$           8036,$           3251,$            540,$            535,$             18,$              0,$             38,$            838,N/A,$            473,$              0,$             56
Washington,2010.0,$           6570,$           2388,$            360,$            347,$             30,$              0,$              3,$            485,N/A,$            349,$              0,$             34
Washington,2011.0,$           7382,$           2549,$            388,$            375,$             30,$              0,$              2,$            508,N/A,$            347,$              0,$             34
Washington,2012.0,$           5914,$           2553,$            340,$            333,$             37,$              0,$             48,$            535,N/A,$            373,$              0,$             52
Washington,2013.0,$           7030,$           2694,$            394,$            366,$             44,$              0,$              8,$            545,N/A,$            369,$              0,$             56
Washington,2014.0,$           7792,$           2752,$            398,$            376,$             46,$              0,$             42,$            587,N/A,$            340,$              0,$             55
Washington,2015.0,$           6968,$           2875,$            390,$            382,$             47,$              0,$             50,$            649,N/A,$            313,$              0,$             58
Washington,2016.0,$           6995,$           3045,$            397,$            397,$             51,$              0,$             37,$            665,N/A,$            289,$              0,$             58
Washington,2017.0,$           8477,$           3222,$            410,$            410,$             53,$              0,$              6,$            787,N/A,$            308,$              0,$             41
Washington,2018.0,$           9004,$           3521,$            420,$            409,$             55,$              0,$              3,$            790,N/A,$            292,$              0,$             44
Washington,2019.0,$           8561,$           3664,$            440,$            429,$             54,$              0,$              5,$            831,N/A,$            314,$              0,$             44
Washington,2020.0,$           8645,$           3759,$            422,$            414,$             48,$              0,$              6,$            938,N/A,$            323,$              0,$             44
West Virginia,2010.0,$           7395,$           2590,$            461,$            452,$             48,$              1,$             25,$            190,N/A,$            617,$              0,$             39
West Virginia,2011.0,$           8290,$           2806,$            485,$            474,$             50,$              1,$             20,$            204,N/A,$            652,$              0,$             41
West Virginia,2012.0,$           7127,$           2844,$            423,$            410,$             53,$              2,$             21,$            229,N/A,$            647,$              0,$             44
West Virginia,2013.0,$           7986,$           2903,$            439,$            427,$             51,$              1,$             18,$            223,N/A,$            587,$              0,$             40
West Virginia,2014.0,$           8271,$           2907,$            457,$            444,$             52,$              1,$             22,$            222,N/A,$            605,$              0,$             44
West Virginia,2015.0,$           7458,$           3015,$            461,$            451,$             52,$              2,$             17,$            195,N/A,$            546,$              0,$             40
West Virginia,2016.0,$           7261,$           2839,$            482,$            475,$             55,$              1,$             19,$            214,N/A,$            648,$              0,$             46
West Virginia,2017.0,$           8667,$           2794,$            500,$            490,$             61,$              2,$             19,$            214,N/A,$            624,$              0,$             44
West Virginia,2018.0,$           8476,$           3003,$            504,$            497,$             74,$              1,$             15,$            214,N/A,$            667,$              0,$             43
West Virginia,2019.0,$           8541,$           3227,$            496,$            492,$             80,$              1,$             15,$            210,N/A,$            800,$              0,$             48
West Virginia,2020.0,$           8988,$           3052,$            482,$            474,$             95,$              2,$             20,$            242,N/A,$            977,$              0,$             53
California,2010.0,$           7547,$           2872,$            176,$            176,$              1,$            109,$              2,$            220,N/A,$            231,$              0,$             43
California,2011.0,$           8939,$           3165,$            193,$            193,$              1,$             66,$              1,$            244,N/A,$            183,$              0,$             42
California,2012.0,$           6373,$           3033,$            188,$            188,$              1,$             27,$              0,$            265,N/A,$            235,$              0,$             40
California,2013.0,$           8174,$           3478,$            193,$            193,$              1,$             27,$              0,$            278,N/A,$            238,$              0,$             41
California,2014.0,$           8911,$           3574,$            199,$            198,$              1,$             26,$              0,$            304,N/A,$            202,$              0,$             44
California,2015.0,$           8146,$           3881,$            205,$            205,$              1,$             26,$              0,$            317,N/A,$            181,$              0,$             45
California,2016.0,$           8243,$           3957,$            271,$            271,$              1,$             20,$              0,$            327,N/A,$            195,$              0,$             49
California,2017.0,$           9986,$           4034,$            278,$            278,$              1,$             25,$              0,$            390,N/A,$            194,$              0,$             47
California,2018.0,$          10456,$           4513,$            290,$            290,$              1,$             25,$              0,$            412,N/A,$            194,$              0,$             47
California,2019.0,$          10580,$           4760,$            312,$            312,$              1,$             24,$              0,$            466,N/A,$            262,$              0,$             51
California,2020.0,$          10028,$           4354,$            295,$            295,$              1,$             23,$              0,$            519,N/A,$            289,$              0,$             57
Wisconsin,2010.0,$           8448,$           2524,$            317,$            315,$              5,$              0,$              5,$            297,N/A,$            302,$              0,$             22
Wisconsin,2011.0,$           7843,$           2686,$            342,$            341,$              5,$              0,$              7,$            293,N/A,$            321,$              0,$             22
Wisconsin,2012.0,$           6083,$           2790,$            314,$            312,$              4,$              0,$              1,$            360,N/A,$            332,$              0,$             24
Wisconsin,2013.0,$           8088,$           2868,$            334,$            332,$              4,$              0,$              1,$            385,N/A,$            353,$              0,$             21
Wisconsin,2014.0,$           8081,$           2832,$            346,$            345,$              4,$              0,$              1,$            388,N/A,$            374,$              0,$             22
Wisconsin,2015.0,$           7172,$           2937,$            342,$            340,$              4,$              0,$              3,$            404,N/A,$            369,$              0,$             23
Wisconsin,2016.0,$           6313,$           3037,$            372,$            371,$              4,$              0,$              8,$            388,N/A,$            232,$              0,$             25
Wisconsin,2017.0,$           7862,$           3108,$            372,$            371,$              4,$              0,$              8,$            454,N/A,$            537,$              0,$              8
Wisconsin,2018.0,$           9302,$           3195,$            387,$            386,$              4,$              0,$              9,$            446,N/A,$            350,$              0,$              8
Wisconsin,2019.0,$           6394,$           3389,$            381,$            380,$              4,$              0,$              6,$            459,N/A,$            355,$              0,$              8
Wisconsin,2020.0,$          10973,$           3414,$            376,$            375,$              4,$              0,$              7,$            477,N/A,$            341,$              0,$              8
Wyoming,2010.0,$          13207,$           3824,$            216,$            216,$             26,$              0,$            205,$            524,N/A,$            967,$              0,$             93
Wyoming,2011.0,$          13221,$           4343,$            221,$            221,$             21,$              0,$             86,$            505,N/A,$            906,$              0,$             87
Wyoming,2012.0,$          12893,$           4005,$            187,$            186,$             17,$              4,$             46,$            577,N/A,$           1040,$              0,$             69
Wyoming,2013.0,$          14524,$           3763,$            191,$            190,$             15,$              1,$             64,$            647,N/A,$            979,$              0,$             72
Wyoming,2014.0,$          14153,$           3896,$            193,$            192,$             17,$              0,$             24,$            583,N/A,$            954,$              0,$             66
Wyoming,2015.0,$          13678,$           4037,$            202,$            201,$             23,$              1,$            119,$            604,N/A,$           1040,$              0,$             68
Wyoming,2016.0,$          11088,$           3288,$            204,$            202,$             14,$              1,$            160,$            645,N/A,$            976,$              0,$             70
Wyoming,2017.0,$          12051,$           2863,$            205,$            204,$             10,$              1,$            141,$            965,N/A,$            830,$              0,$             67
Wyoming,2018.0,$          13235,$           3197,$            238,$            236,$             19,$              1,$            222,$            960,N/A,$            878,$              0,$             69
Wyoming,2019.0,$          10590,$           3669,$            202,$            201,$             16,$              2,$            230,$            653,N/A,$            859,$              0,$             71
Wyoming,2020.0,$          15585,$           3401,$            211,$            210,$             11,$              2,$             24,$            693,N/A,$           1021,$              0,$             75
Colorado,2010.0,$           5428,$           1699,$            468,$            466,$              1,$              0,$              1,$            334,N/A,$            201,$              0,$             25
Colorado,2011.0,$           5895,$           1849,$            526,$            523,$              1,$              0,$              1,$            353,N/A,$            209,$              0,$             25
Colorado,2012.0,$           4924,$           1978,$            444,$            441,$              1,$              0,$              2,$            301,N/A,$            191,$              0,$             26
Colorado,2013.0,$           6020,$           2138,$            456,$            453,$              1,$              0,$              2,$            316,N/A,$            203,$              0,$             29
Colorado,2014.0,$           6342,$           2200,$            473,$            470,$              1,$              0,$              3,$            336,N/A,$            230,$              0,$             32
Colorado,2015.0,$           5909,$           2342,$            489,$            488,$             18,$              0,$              2,$            217,N/A,$            255,$              0,$             31
Colorado,2016.0,$           5652,$           2331,$            510,$            509,$             13,$              0,$              2,$            232,N/A,$            252,$              0,$             33
Colorado,2017.0,$           6212,$           2383,$            538,$            537,$             11,$              0,$              3,$            256,N/A,$            267,$              0,$             41
Colorado,2018.0,$           7556,$           2629,$            551,$            551,$             29,$              0,$              0,$            272,N/A,$            264,$              0,$             44
Colorado,2019.0,$           5914,$           2767,$            569,$            568,$             30,$              0,$              0,$            298,N/A,$            234,$              0,$             46
Colorado,2020.0,$           8126,$           2606,$            563,$            562,$             11,$              0,$              0,$            317,N/A,$            280,$              0,$             51
Connecticut,2010.0,$           7500,$           3448,$            358,$            358,$              0,$              8,$              6,$            569,N/A,$            300,$              0,$             58
Connecticut,2011.0,$           8122,$           3810,$            379,$            378,$              0,$              9,$              5,$            590,N/A,$            279,$              0,$             56
Connecticut,2012.0,$           7616,$           4294,$            316,$            312,$              2,$             12,$             54,$            524,N/A,$            402,$              1,$             58
Connecticut,2013.0,$           8635,$           4445,$            341,$            316,$              3,$             12,$             39,$            532,N/A,$            431,$              1,$             58
Connecticut,2014.0,$           8684,$           4409,$            337,$            334,$              2,$             12,$              0,$            562,N/A,$            445,$              1,$             59
Connecticut,2015.0,$           8179,$           4481,$            359,$            355,$              2,$             11,$              0,$            593,N/A,$            450,$              1,$             62
Connecticut,2016.0,$           8036,$           4341,$            375,$            372,$              2,$             11,$              0,$            609,N/A,$            513,$              1,$             70
Connecticut,2017.0,$           9607,$           4625,$            378,$            376,$              3,$             11,$              0,$            654,N/A,$            432,$              1,$             62
Connecticut,2018.0,$           9536,$           5215,$            388,$            385,$              4,$             12,$              0,$            647,N/A,$            389,$              1,$             63
Connecticut,2019.0,$          10115,$           5304,$            393,$            391,$              3,$             31,$              0,$            662,N/A,$            395,$              1,$             66
Connecticut,2020.0,$          10300,$           5111,$            373,$            371,$              4,$             16,$              0,$            698,N/A,$            397,$              1,$             68
Delaware,2010.0,$           8857,$           3071,$            781,$            781,$            189,$             17,$             80,$            486,N/A,$            570,$              0,$            115
Delaware,2011.0,$          10059,$           3355,$            794,$            794,$            184,$             18,$             69,$            464,N/A,$            502,$              0,$            122
Delaware,2012.0,$           8702,$           3579,$            790,$            790,$            185,$             18,$             66,$            542,N/A,$            456,$              0,$            136
Delaware,2013.0,$           9747,$           3615,$            847,$            847,$            188,$             18,$             71,$            555,N/A,$            464,$              0,$            145
Delaware,2014.0,$           9828,$           3396,$            797,$            797,$            193,$             20,$             81,$            561,N/A,$            391,$              0,$            143
Delaware,2015.0,$           8649,$           3720,$            824,$            824,$            189,$             23,$             69,$            545,N/A,$            350,$              0,$            148
Delaware,2016.0,$           8575,$           3696,$            683,$            683,$            205,$             22,$             67,$            553,N/A,$            450,$              0,$            146
Delaware,2017.0,$           9797,$           3733,$            690,$            690,$            210,$             23,$             62,$            581,N/A,$            677,$              0,$            153
Delaware,2018.0,$          10662,$           4345,$            737,$            737,$            206,$             22,$             58,$            592,N/A,$            571,$              0,$            150
Delaware,2019.0,$          10384,$           4683,$            758,$            758,$            212,$             23,$             75,$            576,N/A,$            655,$              0,$            156
Delaware,2020.0,$          12430,$           4592,$            698,$            698,$            201,$             18,$             76,$            577,N/A,$            564,$              0,$            162

Data may be unavailable for some years, variables, and levels of government. Observations with missing values are displayed as N/A in the results above.



	
